sorszám;cím;alcím;ünnepkör;kategória;előjegyzés;versszakok száma
1;Kiáltsunk Krisztus hívei;Himnusz Krisztus hármas eljöveteléről;Advent;népének;2#;9
2;Népek megváltó Istene;;Advent;népének;1#;8
3;Harmatozzatok, égi magasok;;Advent;népének;1b;5
4;Hozzád emelem szómat, Istenem;;Advent;népének;2#;5
5;Küldé az Úristen;;Advent;népének;3b;10
6;Ó jöjj, ó jöjj Üdvözítő;;Advent;népének;1b;4
7;Ébredj, ember, mély álmodból;;Advent;népének;2b;4
8;Hív minket most egy tiszta szó;;Advent;népének;1b;5
9;Csillagoknak teremtője;;Advent;népének;1b;7
10;Az Úristen Ádám atyánknak;;Advent;népének;1b;8
11;E világot Ősatyánk elveszté;;Advent;népének;-;5
12;Bűnös néped sírva kiált hozzád;;Advent;népének;3b;3
13;Íme, kedveseim;;Advent;népének;2#;5
14;Harmatozzatok, magasságos egek;;Advent;népének;4#;10
15;Ó jöjj, ó jöjj el, Bölcsesség;;Advent;népének;1#;7
16;Ó, fényességes szép Hajnal;;Advent;népének;-;4
17;Ó, fényességes szép Hajnal;;Advent;népének;-;1
18;Ó, fényességes szép Hajnal;;Advent;népének;-;1
19;Üdvözlégy, szent Szűz;;Advent;népének;2#;7
20;Menj el sietséggel;;Advent;népének;1b;11
21;Ave Maria, Istennek Anyja;;Advent;népének;2b;3
22;Serkenj, lelkem, mély álmodból;;Advent;népének;1b;5
23;Ahol a napnak fénye kél;;Karácsony;népének;1#;8
24;Világmegváltó Krisztusunk;;Karácsony;népének;1b;7
25;Gyermek születék Betlehemben;;Karácsony;népének;1#;6
26;Dicsőség mennyben az Istennek!;;Karácsony;népének;-;5
27;Ím az Úrnak nagy neve;;Karácsony;népének;3b;3
28;Születésén Istennek;;Karácsony;népének;4#;5
29;Nagy öröm nap ez a nap;;Karácsony;népének;4#;3
30;Vigasságos, hangos ;;Karácsony;népének;2b;4
31;In dulci jubilo;;Karácsony;népének;4#;3
32;Az angyal énekel;;Karácsony;népének;4#;2
33;Jöjjetek, ó hívek;;Karácsony;népének;1b;3
34;Krisztus Jézus született;;Karácsony;népének;2#;2
35;Krisztus Urunknak áldott születésén;;Karácsony;népének;1b;5
36;Mostan kinyílt egy szép rózsa virág;;Karácsony;népének;1b;2
37;Az Ige megtestesült;;Karácsony;népének;3b;4
38;Ó, Jézus, szűzen született;;Karácsony;népének;1b;2
39;Istengyermek, kit irgalmad;;Karácsony;népének;2#;5
40;Ó, gyönyörű szép;;Karácsony;népének;2#;2
41;Csordapásztorok;;Karácsony;népének;-;14
42;Csordapásztorok;rövidebb forma;Karácsony;népének;-;9
43;Mennyből az angyal;;Karácsony;népének;1b;5
44;Pásztorok, pásztorok;;Karácsony;népének;-;4
45;Fel nagy örömre;;Karácsony;népének;3#;2
46;Midőn a Szűz magzatát;;Karácsony;népének;1b;5
47;A szép szűz Mária;;Karácsony;népének;3b;3
48;Megszületett már;;Karácsony;népének;2#;12
49;Íme, egykor Szent István;December 26. - Szent István első vértanú;Karácsony;népének;-;4
50;Szent Jánosnak napját;December 27. - Szent János apostol és evangélista;Karácsony;népének;2b;5
51;Köszöntünk, kisded vértanúk;December 28. - Aprószentek;Karácsony;népének;3b;3
52;Felragyogott már;Szent Család ünnepe;Karácsony;népének;-;5
53;Az esztendő fordulóján;December 31. - Szent I. Szilveszter pápa;Karácsony;népének;3b;5
54;Szűz Mária e világra nékünk;Január 1. - Karácsony nyolcada, Szűz Mária Isten anyja;Karácsony;népének;3b;4
55;Ó szép Jézus, ez új esztendőben;Január 1. - Karácsony nyolcada, Szűz Mária Isten anyja;Karácsony;népének;3b;3
56;Szép kelet, szép nap;Január 1. - Karácsony nyolcada, Szűz Mária Isten anyja;Karácsony;népének;1#;3
