sorszám;cím;alcím;ünnepkör;kategória;előjegyzés;ütemmutató;versszakok száma
1;A kereszténységben, hisszük;Miseének;advent;;3b;4/4;5
2;Harmatozzatok;Miseének;advent;;1b;2/4;9
3;Ó, bezárult Édenünk;Miseének;advent;;3b;4/4;7
4;Téged vár;Miseének;advent;;-;4/4;6
5;Ave María;;advent;Mária-ének;2b;4/4;5
6;Az Úristen Ádám atyánknak;;advent;;1b;4/4, 2/4;8
7;Áron vesszeje virágzik;;advent;Mária-ének;3b;3/4;3
8;Bűnös néped sírva kiált;;advent;;2b;4/4;3
9;Ébredj, ember;;advent;;2b;4/4;4
10;Mária, szűz virág;;advent;;2b;2/4;4
11;Ó, fényességes szép hajnal;;advent;Mária-ének;-;3/4;7
12;Mennyországi fényes hajnal;;advent;Mária-ének;2#;3/4;4
13;Mint forró sóhaj;;advent;;1#;3/4;4
14;Ó, nemes, ékes;;advent;Mária-ének;2#;3/4;4
15;Üdvözlégy, ó drága vendég;Miseének;karácsony;;1#;4/4;12
16;Az angyal énekel;Miseének;karácsony;;3b;3/4;5
17;Az égből színméz csörgedez;;karácsony;;1#;3/4;4
18;Az Ige megtestesült;Az Oltáriszentségről;karácsony;;3b;4/4;4
19;A szép Szűz Mária;;karácsony;;3b;3/4;6
20;Csorda-pásztorok;;karácsony;;-;4/4;13
21;Dicsőség mennyben az Istennek;;karácsony;;-;4/4;5
22;Ez nap nékünk dícséretes nap;;karácsony;;-;4/4;4
23;Istengyermek;Az Oltáriszentségről;karácsony;;2#;2/4;5
24;Jászolodban áldunk;;karácsony;;2b;4/4;3
25;Mennyből az angyal;;karácsony;;1b;4/4;5
26;Midőn a Szűz Magzatát;;karácsony;;1b;4/4;6
27;Mind a világ;;karácsony;;2#;4/4;2
28;Nagy örömnap ez nékünk;;karácsony;;1b;4/4;6
29;Ó, gyönyörűszép titokzatos éj;Az Oltáriszentségről;karácsony;;2#;4/4;2
30;Ó, Jézus, szüzen született;;karácsony;;1b;3/4;7
31;Örülj, te boldog Betlehem;;karácsony;;3b;3/4;8
32;Pásztorok, pásztorok örvendezve;;karácsony;;-;4/4;4
33;Szép violácska;;karácsony;;1#;3/4;3
34;Szülte a Szűz szent Fiát;;karácsony;;1b;4/4;4
35;Szűz Mária e világra nékünk;;karácsony;;3b;4/4;6
36;Vígasságos, hangos, nagy örömünk;;karácsony;;2b;4/4;5
37;Isten, ki az időnek;;év végi hálaadás;;1#;4/4;4
38;Az esztendő fordulóján;;év végi hálaadás;;3b;4/4;6
39;Szép kelet, szép nap;;újév;;1#;4/4;4
40;Kél a magasból tiszta fény;;újév;;1b;4/4;4
41;Ó, szép Jézus;;újév;;3b;4/4;3
42;Égi lakomára készüljünk;Miseének;Vízkereszt;miseének;1b;4/4;6
43;Az isteni gyermeket;;Vízkereszt;;1b;4/4;5
44;Fényességén e mai napnak;;Vízkereszt;;3#;4/4;12
45;János áll a part felett;;Vízkereszt;;3b;6/4;6
46;Ím az égen feltűnik;;Vízkereszt;;3b;6/4;6
47;Violaszín gyászruhába;Miseének missióra, lelkigyakorlatokra;;bűnbánati ének;2#;4/4;6
48;Isten áldjon, tünde játék;Különösen farsang napokra;;bűnbánati ének;1#;3/4;3
49;Árva, bűnös lelkem reszket;Lelkigyakorlatokra, missióra;;bűnbánati ének;2b;4/4;6
50;Mintha köztünk Jézus járna;Az Oltáriszentségről, különösen farsang napokra;;bűnbánati ének, ének az Oltáriszentségről;2b;4/4;5
51;Hamvazkodjál, hívő lélek;Hamvazószerdára;;bűnbánati ének;2b;4/4;7
52;Hallgasd meg...könyörgésünket;Könyörgő körmenetre;;bűnbánati ének;3#;4/4;20
53;Könyörülj, Istenem;Könyörgő körmenetre, missióra, lelkigyakorlatokra;;bűnbánati ének;1b;3/4;8
54;Mit bízik e világ;Különösen farsang napokra;;bűnbánati ének;2b;5/4, 3/4;8
55;Kereszten haldokló kegyes Jézusom;Hamvazásra, farsangra, missióra, nagyböjtre;;bűnbánati ének;1b;5/4;4
56;A Golgota-lépcsőn állok;Miseének;nagyböjt;;3#;4/4;7
57;Buzgó szívvel ünnepeljük;Miseének;nagyböjt;;3b;4/4;7
58;Bűnbánóknak menedéke;Miseének;nagyböjt;;1b;4/4;6
59;Bűnös lelkek;Miseének;nagyböjt;;3b;4/4;6
60;Hogyha hozzád járulunk;Miseének;nagyböjt;;3b;4/4;5
61;A fényes Isten-arcot;;nagyböjt;;2b;4/4;3
62; Ah! Jaj! Mit szemlélek;;nagyböjt;;1b;3/4;5
63;A keresztfához megyek;;nagyböjt;;2#;4/4;8
64;Az Atyának egy fiát;;nagyböjt;;1b;4/4;14
65;Áll a gyötrött Istenanyja;;nagyböjt;;2#;4/4;20
66;Bűnös lélek, sirasd, kérlek;;nagyböjt, Mária-ünnepek;;1b;4/4;7
67;Bágyad gyötrelmében;;nagyböjt, Mária-ünnepek;;1#;4/4;7
68; Hol vagy, édes Jézus;;nagyböjt, Mária-ünnepek;;-;4/4;11
69;Jer, dícsérjük mindeneknek Atyját;;nagyböjt;;3#;4/4;6
70;Jézus, világ Megváltója;;nagyböjt;;1b;3/4;9
71;Keresztények, sírjatok;;nagyböjt;;2#;4/4;5
72;Keservesen siratja;;nagyböjt, Mária-ünnepek;;1#;4/4;6
73;Krisztus Anyja, Szűz Mária;;nagyböjt, Mária-ünnepek;;3#;4/4;8
74;Ó Jézus, Jézus;;nagyböjt;;1b;3/4;8
75;Ó szerencsés bűnös ember;;nagyböjt;;3b;4/4;3
76;Zengd, ó nyelv, a győzedelmet;;nagyböjt;;2b;3/4;11
