
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2022-06-23,FR4090,"Budapest / Franz Liszt International (BUD/LHBP)","Naples / Capodichino (NAP/LIRN)",15:15:00,16:35:00,01:20:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",SP-RSH,24A,1,1,1,,429,2016,668,231
2022-07-02,FR4089,"Naples / Capodichino (NAP/LIRN)","Budapest / Franz Liszt International (BUD/LHBP)",08:40:00,10:15:00,01:35:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",SP-RKQ,27A,1,1,1,,2016,429,668,231
2023-08-09,SN2830,"Budapest / Franz Liszt International (BUD/LHBP)","Brussels / Brussels (BRU/EBBR)",06:35:00,08:40:00,02:05:00,"Brussels Airlines (SN/BEL)","Airbus A319 (A319)",OO-SSH,19D,3,1,1,,429,403,1093,26
2023-08-16,SN2829,"Brussels / Brussels (BRU/EBBR)","Budapest / Franz Liszt International (BUD/LHBP)",21:00:00,23:00:00,02:00:00,"Brussels Airlines (SN/BEL)","Airbus A320 (A320)",OO-TCQ,14F,1,1,1,"első repülés sötétben",403,429,1093,27
2024-08-31,W62340,"Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF)","Budapest / Franz Liszt International (BUD/LHBP)",16:00:00,17:45:00,01:45:00,"Wizz Air (W6/WZZ)","Airbus A321neo (A21N)",9H-WDX,12C,3,1,1,egyedül,872,429,859,2128
2025-08-08,LH1337,"Budapest / Franz Liszt International (BUD/LHBP)","Frankfurt am Main / Frankfurt (FRA/EDDF)",11:15:00,13:00:00,01:45:00,"Lufthansa (LH/DLH)","Airbus A321 (A321)",D-AIRL,37F,1,1,1,,429,919,239,28
2025-08-08,LH980,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Dublin / Dublin (DUB/EIDW)",15:50:00,16:55:00,02:05:00,"Lufthansa (LH/DLH)","Airbus A321 (A321)",D-AISR,38C,3,1,1,,919,757,239,28
2025-08-14,LH981,"Dublin / Dublin (DUB/EIDW)","Frankfurt am Main / Frankfurt (FRA/EDDF)",17:40:00,20:45:00,02:05:00,"Lufthansa (LH/DLH)","Airbus A321neo (A21N)",D-AIEN,32C,3,1,1,,757,919,239,2128
2025-08-14,LH1342,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Budapest / Franz Liszt International (BUD/LHBP)",22:15:00,23:50:00,01:35:00,"Lufthansa (LH/DLH)","Airbus A320neo (A20N)",D-AINE,19F,1,1,1,,919,429,239,2127
2026-01-30,KL1370,"Budapest / Franz Liszt International (BUD/LHBP)","Amsterdam / Schiphol (AMS/EHAM)",17:05:00,19:15:00,02:10:00,"KLM Royal Dutch Airlines (KL/KLM)","Boeing 737-800 (B738)",PH-BGC,27D,3,1,1,,429,122,440,231
2026-05-23,W62467,"Budapest / Franz Liszt International (BUD/LHBP)","Warsaw / Chopin (Okecie) (WAW/EPWA)",06:20:00,07:35:00,01:15:00,"Wizz Air (W6/WZZ)","Airbus A321 (A321)",HA-LXB,27B,2,1,1,"Betti 1. repülése",429,3142,859,28
2026-05-23,W62470,"Warsaw / Chopin (Okecie) (WAW/EPWA)","Budapest / Franz Liszt International (BUD/LHBP)",22:05:00,23:25:00,01:20:00,"Wizz Air (W6/WZZ)","Airbus A321neo (A21N)",9H-WMI,27E,2,1,1,"1.5 óra késés",3142,429,859,2128
2026-06-26,FR8325,"Budapest / Franz Liszt International (BUD/LHBP)","Milan / Malpensa (MXP/LIMC)",13:35:00,15:20:00,01:45:00,"Ryanair (FR/RYR)","Boeing 737 MAX 8 (B38M)",SP-RZH,14A,1,1,1,,429,1983,668,2123
